"state_abbr","division","County","City","zip","longitude","latitude"
"AK","Pacific","Aleutians East Borough","Akutan","99553",-165.5,54.1
"AK","Pacific","Aleutians East Borough","Cold Bay","99571",-161,55
"AK","Pacific","Aleutians East Borough","False Pass","99583",-164,54.7
"AK","Pacific","Aleutians East Borough","King Cove","99612",-161,56
"AK","Pacific","Aleutians East Borough","Sand Point","99661",-160.5,55.3
"AK","Pacific","Aleutians West Census Area","Adak","99546",0,52
"AK","Pacific","Aleutians West Census Area","Dutch Harbor","99692",-166.5,53.7
"AK","Pacific","Aleutians West Census Area","Saint George Island","99591",-169.6,56.6
"AK","Pacific","Aleutians West Census Area","Saint Paul Island","99660",-170.2,57.2
"AK","Pacific","Aleutians West Census Area","Unalaska","99685",-167,53.6
"AK","Pacific","Anchorage Municipality","Anchorage","99501",-149.8,61.3
"AK","Pacific","Anchorage Municipality","Anchorage","99502",-150.1,61.2
"AK","Pacific","Anchorage Municipality","Anchorage","99503",-149.89,61.19
"AK","Pacific","Anchorage Municipality","Anchorage","99504",-149.73,61.21
"AK","Pacific","Anchorage Municipality","Anchorage","99507",-149.7,61.2
"AK","Pacific","Anchorage Municipality","Anchorage","99508",-149.82,61.21
"AK","Pacific","Anchorage Municipality","Anchorage","99515",-149.8,61.1
"AK","Pacific","Anchorage Municipality","Anchorage","99516",-149.7,61.1
"AK","Pacific","Anchorage Municipality","Anchorage","99517",-149.95,61.19
"AK","Pacific","Anchorage Municipality","Anchorage","99518",-149.89,61.16
"AK","Pacific","Anchorage Municipality","Chugiak","99567",-149.4,61.3
"AK","Pacific","Anchorage Municipality","Eagle River","99577",-149.1,61.1
"AK","Pacific","Anchorage Municipality","Girdwood","99587",-149,60.8
"AK","Pacific","Anchorage Municipality","Indian","99540",-149.5,61
"AK","Pacific","Anchorage Municipality","Jber","99505",-149.69,61.26
"AK","Pacific","Anchorage Municipality","Jber","99506",-149.79,61.26
"AK","Pacific","Bethel Census Area","Akiachak","99551",-161.4,60.9
"AK","Pacific","Bethel Census Area","Akiak","99552",-161.19,60.89
"AK","Pacific","Bethel Census Area","Aniak","99557",-157,62
"AK","Pacific","Bethel Census Area","Bethel","99559",-161,61
"AK","Pacific","Bethel Census Area","Chefornak","99561",-164.25,60.15
"AK","Pacific","Bethel Census Area","Crooked Creek","99575",-158.1317,61.8612
"AK","Pacific","Bethel Census Area","Eek","99578",-161,60
"AK","Pacific","Bethel Census Area","Goodnews Bay","99589",-161.58,59.13
"AK","Pacific","Bethel Census Area","Kalskag","99607",-160.33,61.54
"AK","Pacific","Bethel Census Area","Kasigluk","99609",-162.517,60.895
"AK","Pacific","Bethel Census Area","Kipnuk","99614",-163,61
"AK","Pacific","Bethel Census Area","Kwethluk","99621",-161.43,60.8
"AK","Pacific","Bethel Census Area","Kwigillingok","99622",-163,60
"AK","Pacific","Bethel Census Area","Lower Kalskag","99626",-160.36,61.52
"AK","Pacific","Bethel Census Area","Mekoryuk","99630",-169,60
"AK","Pacific","Bethel Census Area","Napakiak","99634",-161,60
"AK","Pacific","Bethel Census Area","Nightmute","99690",-164.8,60.5
"AK","Pacific","Bethel Census Area","Nunapitchuk","99641",-162.46,60.89
"AK","Pacific","Bethel Census Area","Quinhagak","99655",-161.7,59.4
"AK","Pacific","Bethel Census Area","Sleetmute","99668",-157,61.6
"AK","Pacific","Bethel Census Area","Toksook Bay","99637",-165.1,60.5
"AK","Pacific","Bethel Census Area","Tuluksak","99679",-160.95,61.11
"AK","Pacific","Bethel Census Area","Tuntutuliak","99680",-162.664,60.343
"AK","Pacific","Bethel Census Area","Tununak","99681",-164.8,60.6
"AK","Pacific","Bristol Bay Borough","King Salmon","99613",-156.68,58.7
"AK","Pacific","Bristol Bay Borough","Naknek","99633",-156.7,58.8
"AK","Pacific","Denali Borough","Anderson","99744",-149.5,64.1
"AK","Pacific","Denali Borough","Clear","99704",-149.2,64.29
"AK","Pacific","Denali Borough","Denali National Park","99755",-151,64
"AK","Pacific","Denali Borough","Healy","99743",-148,64
"AK","Pacific","Dillingham Census Area","Aleknagik","99555",-158.62,59.29
"AK","Pacific","Dillingham Census Area","Dillingham","99576",-158.5,59
